timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
339212363,3,1,2,38,0,0,1,0,0,0,0,0,0,0
345654347,3,1,2,38,0,0,1,0,0,0,0,0,0,0
358701327,3,2,3,38,0,0,1,0,0,0,0,0,0,0
358760940,3,3,4,38,0,0,1,0,0,0,0,0,0,0
358804816,3,4,5,38,0,0,1,0,0,0,0,0,0,0
403537263,3,5,6,38,0,0,1,0,0,0,0,0,0,0
403596589,3,6,7,38,0,0,1,0,0,0,0,0,0,0
403737502,3,7,8,38,0,0,1,0,0,0,0,0,0,0
409250234,3,8,9,38,0,0,1,0,0,0,0,0,0,0
409417224,3,9,10,38,0,0,1,0,0,0,0,0,0,0
409464402,3,10,11,38,0,0,1,0,0,0,0,0,0,0
453144655,3,11,12,38,0,0,1,0,0,0,0,0,0,0
453234120,3,12,13,38,0,0,1,0,0,0,0,0,0,0
453365449,3,13,14,38,0,0,1,0,0,0,0,0,0,0
457566872,3,14,15,38,0,0,1,0,0,0,0,0,0,0
459162154,3,15,16,38,0,0,1,0,0,0,0,0,0,0
459222108,3,16,17,38,0,0,1,0,0,0,0,0,0,0
503939781,3,17,18,38,0,0,1,0,0,0,0,0,0,0
503964589,3,18,19,38,0,0,1,0,0,0,0,0,0,0
504120301,3,19,20,38,0,0,1,0,0,0,0,0,0,0
508212776,3,20,21,38,0,0,1,0,0,0,0,0,0,0
508837377,3,21,22,38,0,0,1,0,0,0,0,0,0,0
508885624,3,22,23,38,0,0,1,0,0,0,0,0,0,0
552985613,3,23,24,38,0,0,1,0,0,0,0,0,0,0
553009531,3,24,25,38,0,0,1,0,0,0,0,0,0,0
553152547,3,25,26,38,0,0,1,0,0,0,0,0,0,0
557261933,3,26,27,38,0,0,1,0,0,0,0,0,0,0
559101794,3,27,28,38,0,0,1,0,0,0,0,0,0,0
559131198,3,28,29,38,0,0,1,0,0,0,0,0,0,0
603098857,3,29,30,38,0,0,1,0,0,0,0,0,0,0
603139763,3,30,31,38,0,0,1,0,0,0,0,0,0,0
603299823,3,31,32,38,0,0,1,0,0,0,0,0,0,0
607207826,3,32,33,38,0,0,1,0,0,0,0,0,0,0
608084505,3,33,34,38,0,0,1,0,0,0,0,0,0,0
608132651,3,34,35,38,0,0,1,0,0,0,0,0,0,0
651983007,3,35,36,38,0,0,1,0,0,0,0,0,0,0
652018602,3,36,37,38,0,0,1,0,0,0,0,0,0,0
652158304,3,37,37,38,0,0,1,0,1,0,0,0,0,0
674465209,3,37,37,38,0,0,1,0,1,0,0,0,0,0
675614414,3,-1,37,38,0,0,1,0,1,0,0,0,0,0
698722164,3,-1,37,38,0,0,1,0,0,0,0,0,0,0
718230185,3,-1,37,38,0,0,1,0,1,0,0,0,0,0
724369503,4,-1,0,38,0,0,1,0,0,0,0,0,0,0
